controller,metric,n_runs,n_values,mean,median,sd,ci95_lo,ci95_hi,min,max
reactive,survived,100,100,0.97,1.0,0.1714466079977653,0.936396464832438,1.003603535167562,0.0,1.0
reactive,any_birth,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,final_population,100,100,2.72,3.0,1.2397458195007947,2.4770098193778445,2.962990180622156,0.0,6.0
reactive,births,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,deaths,100,100,7.28,7.0,1.2397458195007947,7.037009819377844,7.522990180622156,4.0,10.0
reactive,resources_consumed_count,100,100,275.99,282.5,84.96279577948613,259.3372920272207,292.6427079727793,22.0,464.0
reactive,total_energy_final,100,100,1587.49,1550.5,934.7836836683263,1404.272398001008,1770.707601998992,0.0,4676.0
reactive,mean_population,100,100,4.19532,4.299,1.0179780799767406,3.9957962963245586,4.394843703675441,0.907,6.492
reactive,mean_energy,100,100,344.32049923074663,351.2939367063492,120.39558379295647,320.7229648073272,367.9180336541661,55.13359325396826,685.9435742063492
reactive,action_entropy,100,100,2.3149344949810753,2.315101433811777,0.0024442786387841205,2.3144554163678737,2.315413573594277,2.3091384959292296,2.3204473461655435
reactive,time_to_extinction,100,3,489.3333333333333,568.0,258.151764149179,197.20711190765496,781.4595547590117,201.0,699.0
reactive,time_to_extinction_censored,100,100,984.68,1000.0,94.92983905724451,966.0737515447801,1003.2862484552198,201.0,1000.0
reactive,time_to_first_birth,100,0,nan,nan,0.0,nan,nan,nan,nan
reactive,max_generation,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive,founders_reproducing_count,100,100,0.0,0.0,0.0,0.0,0.0,0.0,0.0
reactive_r,survived,100,100,0.95,1.0,0.2190429135575903,0.9070675889427122,0.9929324110572877,0.0,1.0
reactive_r,any_birth,100,100,0.99,1.0,0.1,0.9704,1.0096,0.0,1.0
reactive_r,final_population,100,100,8.48,9.0,3.641733408999377,7.766220251836122,9.193779748163879,0.0,16.0
reactive_r,births,100,100,38.36,37.5,14.828664569990547,35.453581744281855,41.26641825571814,0.0,70.0
reactive_r,deaths,100,100,39.88,39.5,12.084951824730647,37.511349442352795,42.24865055764721,10.0,70.0
reactive_r,resources_consumed_count,100,100,526.6,531.5,149.04700634702496,497.3867867559831,555.8132132440169,22.0,794.0
reactive_r,total_energy_final,100,100,602.22,631.5,258.7021445523009,551.514379667749,652.925620332251,0.0,1012.0
reactive_r,mean_population,100,100,8.93727,9.0,2.3695893641402224,8.472830484628517,9.401709515371483,0.907,13.282
reactive_r,mean_energy,100,100,72.28934724032757,72.55046418234544,3.3231163667800043,71.63801643243869,72.94067804821645,55.13359325396826,78.42438665223666
reactive_r,action_entropy,100,100,2.315822855175666,2.3158773884144876,0.0016307937713742051,2.3155032195964766,2.3161424907548556,2.310792825694801,2.3202908218528373
reactive_r,time_to_extinction,100,5,536.6,506.0,296.63243248168266,276.5902089228177,796.6097910771823,201.0,902.0
reactive_r,time_to_extinction_censored,100,100,976.83,1000.0,117.7214701974731,953.7565918412953,999.9034081587048,201.0,1000.0
reactive_r,time_to_first_birth,100,99,14.565656565656566,4.0,24.926488499210183,9.655452111163871,19.47586102014926,1.0,201.0
reactive_r,max_generation,100,100,7.17,7.0,2.490608623033999,6.6818407098853365,7.658159290114663,0.0,13.0
reactive_r,founders_reproducing_count,100,100,3.98,4.0,1.3557211357723231,3.7142786573886246,4.245721342611375,0.0,8.0
evolutionary,survived,100,100,0.06,0.0,0.23868325657594203,0.01321808171111536,0.10678191828888464,0.0,1.0
evolutionary,any_birth,100,100,0.32,0.0,0.4688261722621507,0.22811007023661847,0.41188992976338157,0.0,1.0
evolutionary,final_population,100,100,0.16,0.0,0.8130252769810425,0.0006470457117156714,0.31935295428828436,0.0,7.0
evolutionary,births,100,100,0.99,0.0,2.969525350637844,0.4079730312749825,1.5720269687250175,0.0,23.0
evolutionary,deaths,100,100,10.83,10.0,2.2249957439523476,10.39390083418534,11.26609916581466,10.0,26.0
evolutionary,resources_consumed_count,100,100,25.32,10.0,42.90319853396066,16.91097308734371,33.729026912656295,0.0,337.0
evolutionary,total_energy_final,100,100,9.95,0.0,50.03985785089096,0.14218786122537175,19.757812138774625,0.0,406.0
evolutionary,mean_population,100,100,1.07321,0.858,0.6323333460328108,0.9492726641775691,1.197147335822431,0.626,5.653
evolutionary,mean_energy,100,100,47.516406765752656,44.18585642900976,10.546334865604871,45.4493251320941,49.58348839941121,33.90243902439025,86.79926666666667
evolutionary,action_entropy,100,100,1.8072621706989984,1.8795646418674905,0.30362493008440017,1.747751684402456,1.8667726569955407,1.0776659201127203,2.3003765913899925
evolutionary,time_to_extinction,100,94,251.0531914893617,129.5,232.1976525040995,204.11244743302936,297.993935545694,95.0,998.0
evolutionary,time_to_extinction_censored,100,100,295.99,134.0,287.40850085485704,239.65793383244804,352.322066167552,95.0,1000.0
evolutionary,time_to_first_birth,100,32,47.0,25.0,60.591706022439055,26.006044956057075,67.99395504394292,1.0,224.0
evolutionary,max_generation,100,100,0.48,0.0,0.9263810329350542,0.29842931754472934,0.6615706824552706,0.0,6.0
evolutionary,founders_reproducing_count,100,100,0.34,0.0,0.5167888418597165,0.2387093869954956,0.44129061300450445,0.0,2.0
